Timestamp_Beijing,HR,GSR
'2026-03-13 15:31:07,67,84
'2026-03-13 15:31:08,66,86
'2026-03-13 15:31:08,66,85
'2026-03-13 15:31:08,66,84
'2026-03-13 15:31:08,66,84
'2026-03-13 15:31:08,66,85
'2026-03-13 15:31:09,66,86
'2026-03-13 15:31:09,66,85
'2026-03-13 15:31:09,66,85
'2026-03-13 15:31:09,66,85
'2026-03-13 15:31:09,64,86
'2026-03-13 15:31:10,64,85
'2026-03-13 15:31:10,64,85
'2026-03-13 15:31:10,64,85
'2026-03-13 15:31:10,64,85
'2026-03-13 15:31:11,63,84
'2026-03-13 15:31:11,63,84
'2026-03-13 15:31:11,63,84
'2026-03-13 15:31:11,63,84
'2026-03-13 15:31:11,63,83
'2026-03-13 15:31:12,62,84
'2026-03-13 15:31:12,62,84
'2026-03-13 15:31:12,62,84
'2026-03-13 15:31:12,66,84
'2026-03-13 15:31:12,71,84
'2026-03-13 15:31:13,71,85
'2026-03-13 15:31:13,71,85
'2026-03-13 15:31:13,71,84
'2026-03-13 15:31:13,73,85
'2026-03-13 15:31:13,73,84
'2026-03-13 15:31:14,73,84
'2026-03-13 15:31:14,76,82
'2026-03-13 15:31:14,81,84
'2026-03-13 15:31:14,81,83
'2026-03-13 15:31:14,81,81
'2026-03-13 15:31:15,81,79
'2026-03-13 15:31:15,82,78
'2026-03-13 15:31:15,82,76
'2026-03-13 15:31:15,82,73
'2026-03-13 15:31:15,87,73
'2026-03-13 15:31:16,97,73
'2026-03-13 15:31:16,97,74
'2026-03-13 15:31:16,97,73
'2026-03-13 15:31:16,97,74
'2026-03-13 15:31:16,97,75
'2026-03-13 15:31:17,99,77
'2026-03-13 15:31:17,99,76
'2026-03-13 15:31:17,99,76
'2026-03-13 15:31:17,99,77
'2026-03-13 15:31:17,99,77
'2026-03-13 15:31:18,97,77
'2026-03-13 15:31:18,97,77
'2026-03-13 15:31:18,97,78
'2026-03-13 15:31:18,97,78
'2026-03-13 15:31:19,92,79
'2026-03-13 15:31:19,92,79
'2026-03-13 15:31:19,92,78
'2026-03-13 15:31:19,92,77
'2026-03-13 15:31:19,92,77
'2026-03-13 15:31:20,84,77
'2026-03-13 15:31:20,84,77
'2026-03-13 15:31:20,84,75
'2026-03-13 15:31:20,84,74
'2026-03-13 15:31:20,82,74
'2026-03-13 15:31:21,82,77
'2026-03-13 15:31:21,82,75
'2026-03-13 15:31:21,82,75
'2026-03-13 15:31:21,82,75
'2026-03-13 15:31:21,79,77
'2026-03-13 15:31:22,79,77
'2026-03-13 15:31:22,79,76
'2026-03-13 15:31:22,79,77
'2026-03-13 15:31:22,73,78
'2026-03-13 15:31:22,73,78
'2026-03-13 15:31:23,73,77
'2026-03-13 15:31:23,73,77
'2026-03-13 15:31:23,73,78
'2026-03-13 15:31:23,72,79
'2026-03-13 15:31:23,72,78
'2026-03-13 15:31:24,72,78
'2026-03-13 15:31:24,72,78
'2026-03-13 15:31:24,68,78
'2026-03-13 15:31:24,68,79
'2026-03-13 15:31:24,68,78
'2026-03-13 15:31:25,68,78
'2026-03-13 15:31:25,65,78
